Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Afghanistan,AFG,181,137,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Albania,ALB,40.6,26.2,19.5,18.7,17.9,17.3,16.6,16,15.5,14.9,14.4,14
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Algeria,DZA,46.8,39.7,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Andorra,ADO,8.5,4.6,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Angola,AGO,226,216.7,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Antigua and Barbuda,ATG,25.5,15.5,11.8,11.3,10.9,10.4,9.9,9.5,9.1,8.7,8.4,8.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Argentina,ARG,27.6,20.2,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Armenia,ARM,49.8,30.1,22.2,21.1,20,19,18,17.2,16.3,15.5,14.7,14.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Australia,AUS,9.2,6.2,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Austria,AUT,9.5,5.5,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Azerbaijan,AZE,94.7,74,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Bahamas, The",BHS,23.5,15.7,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bahrain,BHR,23,12.6,10.5,10,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bangladesh,BGD,143.7,88,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Barbados,BRB,17.9,16.3,16.2,15.8,15.4,15.1,14.7,14.4,14.1,13.7,13.3,13
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belarus,BLR,16.6,14.3,8.7,7.9,7.2,6.6,6.1,5.6,5.3,5,4.7,4.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belgium,BEL,10,5.8,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belize,BLZ,39.6,25,21.2,20.6,20.1,19.5,19,18.5,18,17.5,17,16.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Benin,BEN,179.5,144.7,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bhutan,BTN,133.7,79.6,54.8,51.3,48.1,45.1,42.3,39.9,37.8,36,34.4,32.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bolivia,BOL,124.4,80.2,58.1,54.9,52,49.3,47,44.9,43.1,41.3,39.8,38.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bosnia and Herzegovina,BIH,18.3,9.2,8.3,8.3,8.1,7.8,7.4,6.9,6.5,6.1,5.7,5.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Botswana,BWA,54.2,82.9,63.4,62.6,61.7,57.3,53.5,51.8,49.5,46.6,44.8,43.6
