country_name,country_code,yr_1990,yr_2000,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011
Afghanistan,AFG,2676.91,781.071,1657.484,2280.874,4217.05,6776.616,8470.77,12251.447
Albania,ALB,7488.014,3021.608,3865.018,4477.407,4657.09,4488.408,4415.068,4668.091
Algeria,DZA,78924.841,87930.993,100919.507,109294.935,111575.809,121374.033,119276.509,121755.401
American Samoa,ASM,..,..,..,..,..,..,..,..
Andorra,ADO,..,524.381,546.383,539.049,539.049,517.047,517.047,491.378
Angola,AGO,4429.736,9541.534,22266.024,25151.953,27172.47,29361.669,29743.037,29710.034
Antigua and Barbuda,ATG,300.694,344.698,425.372,469.376,480.377,509.713,524.381,513.38
Argentina,ARG,112613.57,141076.824,174237.505,179738.005,191578.748,180654.755,179000.938,190034.941
Armenia,ARM,..,3465.315,4382.065,5064.127,5559.172,4360.063,4217.05,4961.451
Aruba,ABW,1840.834,2321.211,2497.227,2592.569,2508.228,2522.896,2456.89,2438.555
Australia,AUS,263847.984,329479.95,357946.871,363795.736,376197.53,382464.433,368170.467,369039.546
Austria,AUT,57722.247,62188.653,72214.231,69724.338,68752.583,63483.104,67975.179,65202.927
Azerbaijan,AZE,..,29508.349,39167.227,30509.44,35503.894,31902.9,30678.122,33457.708
"Bahamas, The",BHS,1950.844,1668.485,1521.805,1547.474,1045.095,1642.816,2464.224,1906.84
Bahrain,BHR,12665.818,18643.028,18830.045,22013.001,24011.516,21704.973,23252.447,23439.464
Bangladesh,BGD,15533.412,27869.2,48136.709,46886.262,49581.507,52790.132,56152.771,57069.521
Barbados,BRB,1074.431,1188.108,1371.458,1430.13,1628.148,1624.481,1518.138,1565.809
Belarus,BLR,..,53468.527,61829.287,60281.813,62815.71,60292.814,62221.656,63303.421
Belgium,BEL,106049.64,114894.444,106775.706,103215.049,103882.443,104021.789,109093.25,97765.887
Belize,BLZ,311.695,689.396,432.706,458.375,451.041,469.376,553.717,550.05
Benin,BEN,715.065,1598.812,3872.352,4495.742,4488.408,4752.432,5152.135,4987.12
Bermuda,BMU,597.721,495.045,520.714,517.047,388.702,465.709,476.71,392.369
Bhutan,BTN,128.345,399.703,392.369,392.369,421.705,388.702,487.711,561.051
Bolivia,BOL,5526.169,10223.596,14730.339,12445.798,13556.899,14246.295,15350.062,16120.132
Bosnia and Herzegovina,BIH,..,13787.92,17564.93,17590.599,20087.826,20615.874,21147.589,23747.492
Botswana,BWA,2178.198,4275.722,4646.089,4701.094,4979.786,4400.4,5232.809,4855.108
Brazil,BRA,208886.988,327983.814,347668.27,363212.683,387675.24,367147.374,419754.156,439412.943
